name,percentile
log_flux_r,0.792
log_flux_r,0.8688
log_flux_r,0.7408
log_flux_r,0.8288
log_flux_r,0.8208
log_flux_r,0.9952
log_flux_r,0.6896
log_flux_r,0.0192
log_flux_r,0.4256
log_flux_r,0.9088
log_flux_r,0.4624
log_flux_r,0.344
log_flux_r,0.0672
log_flux_r,0.312
log_flux_r,0.0208
log_flux_r,0.5936
log_flux_r,0.8144
log_flux_r,0.2208
log_flux_r,0.2064
log_flux_r,0.3312
log_flux_r,0.1264
log_flux_r,0.3472
log_flux_r,0.2576
log_flux_r,0.6448
log_flux_r,0.08
log_flux_r,0.072
log_flux_r,0.464
log_flux_r,0.088
log_flux_r,0.9616
log_flux_r,0.4704
log_flux_r,0.8016
log_flux_r,0.8
log_flux_r,0.5552
log_flux_r,0.2864
log_flux_r,0.128
log_flux_r,0.9472
log_flux_r,0.5392
log_flux_r,0.304
log_flux_r,0.0624
log_flux_r,0.7632
log_flux_r,0.1024
log_flux_r,0.8
log_flux_r,0.4512
log_flux_r,0.9168
log_flux_r,0.5104
log_flux_r,0.1648
log_flux_r,0.752
log_flux_r,0.9744
log_flux_r,0.1712
log_flux_r,0.9936
log_flux_r,0.3776
log_flux_r,0.4
log_flux_r,0.1136
log_flux_r,0.9968
log_flux_r,0.224
log_flux_r,0.1712
log_flux_r,0.4
log_flux_r,0.6
log_flux_r,0.1664
log_flux_r,0.6592
log_flux_r,0.9408
log_flux_r,0.8352
log_flux_r,0.6944
log_flux_r,0.6592
log_flux_r,0.0016
log_flux_r,0.6304
log_flux_r,0.0304
log_flux_r,0.7264
log_flux_r,0.3744
log_flux_r,0.7248
log_flux_r,0.5536
log_flux_r,0.5968
log_flux_r,0.4832
log_flux_r,0.52
log_flux_r,0.5168
log_flux_r,0.9664
log_flux_r,0.8192
log_flux_r,0.1744
log_flux_r,0.7296
log_flux_r,0.9984
log_flux_r,0.0784
log_flux_r,0.2128
log_flux_r,0.7424
log_flux_r,0.424
log_flux_r,0.424
log_flux_r,0.0528
log_flux_r,0.7728
log_flux_r,0.1728
log_flux_r,0.168
log_flux_r,0.056
log_flux_r,0.5904
log_flux_r,0.7728
log_flux_r,0.3376
log_flux_r,0.368
log_flux_r,0.0944
log_flux_r,0.6096
log_flux_r,0.6368
log_flux_r,0.6784
log_flux_r,0.5104
log_flux_r,0.7744
log_flux_r,0.6032
log_flux_r,0.0784
log_flux_r,0.8976
log_flux_r,0.072
log_flux_r,0.6704
log_flux_r,0.7776
log_flux_r,0.0368
log_flux_r,0.6544
log_flux_r,0.7472
log_flux_r,0.2496
log_flux_r,0.8112
log_flux_r,0.4688
log_flux_r,0.5664
log_flux_r,0.7456
log_flux_r,0.1584
log_flux_r,0.1824
log_flux_r,0.9904
log_flux_r,0.9984
log_flux_r,0.44
log_flux_r,0.6064
log_flux_r,0.5568
log_flux_r,0.6512
log_flux_r,0.7328
log_flux_r,0.9648
log_flux_r,0.8048
log_flux_r,0.4128
log_flux_r,1.0
log_flux_r,0.016
log_flux_r,0.376
log_flux_r,0.2896
log_flux_r,0.2256
log_flux_r,0.976
log_flux_r,0.5616
log_flux_r,0.5744
log_flux_r,1.0
log_flux_r,0.912
log_flux_r,0.0224
log_flux_r,0.752
log_flux_r,0.7984
log_flux_r,0.9136
log_flux_r,0.0672
log_flux_r,0.504
log_flux_r,0.328
log_flux_r,0.736
log_flux_r,0.9744
log_flux_r,0.1104
log_flux_r,0.3904
log_flux_r,0.2416
log_flux_r,0.4544
log_flux_r,0.6816
log_flux_r,0.8512
log_flux_r,0.0592
log_flux_r,0.5616
log_flux_r,0.1712
log_flux_r,0.5792
log_flux_r,0.7392
log_flux_r,0.0736
log_flux_r,0.6416
log_flux_r,0.936
log_flux_r,0.8208
log_flux_r,0.376
log_flux_r,0.2352
log_flux_r,0.9984
log_flux_r,0.4736
log_flux_r,0.608
log_flux_r,0.2768
log_flux_r,0.92
log_flux_r,0.3376
log_flux_r,0.976
log_flux_r,0.1904
log_flux_r,0.6768
log_flux_r,0.0512
log_flux_r,0.264
log_flux_r,0.176
log_flux_r,0.5824
log_flux_r,0.0
log_flux_r,0.4672
log_flux_r,0.6352
log_flux_r,0.6144
log_flux_r,0.248
log_flux_r,0.1808
log_flux_r,0.0496
log_flux_r,0.7152
log_flux_r,0.9104
log_flux_r,0.4304
log_flux_r,0.7504
log_flux_r,0.4368
log_flux_r,0.3696
log_flux_r,0.8656
log_flux_r,0.024
log_flux_r,0.0224
log_flux_r,0.7568
log_flux_r,0.4
log_flux_r,0.088
log_flux_r,0.2336
