N,first,second,diff,diff_sd,field,first_hi,first_lo,second_hi,second_lo
133,0.11278195488721804,0.09774436090225563,0.015037593984962405,0.024937028498912772,missed_stars,0.1702167060677699,0.0625,0.1486558366877516,0.0491703318672531
341,0.05571847507331378,0.008797653958944282,0.0469208211143695,0.012126729107410751,missed_galaxies,0.08092485549132948,0.032448377581120944,0.020469336831815607,0.0
474,0.1326550962804799,0.11675245730977314,0.015902638970706727,0.0033285206813674062,position,0.1509990323043004,0.11721852328877151,0.13130100705631848,0.10458342117595865
474,0.1357688426794429,0.10815177529129684,0.027617067388146038,0.006043633182031482,flux_r_mag,0.15789241651354685,0.1197499110387362,0.127168675271016,0.09700974079802002
474,0.3101518970402041,0.2430700917727724,0.06708180526743168,0.014570667743262848,flux_r_nmgy,0.3555687929189022,0.271442365507277,0.27195352675909296,0.21882948048078327
48,4.835032620377743,5.260209036324535,-0.42517641594679123,0.43650955647990675,gal_angle_deg,13.111842940481354,7.350414846136239,13.798290888538187,7.864181529429261
92,0.23052030759024975,0.22826410462829008,0.0022562029619596032,0.017774630970583342,gal_frac_dev,0.2823500110296052,0.2015847353244353,0.19097335537613655,0.14309111609663897
92,0.13640839836323138,0.08229836523507945,0.05411003312815192,0.012336876369679967,gal_axis_ratio,0.1504321348952846,0.09871178861028447,0.0945601259945374,0.06578887831707651
92,0.644935468993867,0.42679219791238115,0.2181432710814857,0.049299695842443585,gal_radius_px,1.0501622507729271,0.47764428030768225,0.7693602167416814,0.29387590933027297
474,0.3994114739447367,0.38180800044164603,0.017603473503090675,0.010067862404052852,color_ug,0.4592477837487158,0.35028332597805506,0.4403662029828249,0.33578496109778744
474,0.14785771010328255,0.14905396952401737,-0.0011962594207348617,0.0036418517840799297,color_gr,0.16815503924381628,0.13119302769329133,0.16863930545560935,0.13263603141752664
474,0.12793745401613843,0.13002829933443014,-0.002090845318291713,0.005082441640127931,color_ri,0.15695610090202258,0.10624476595801663,0.15628850879812328,0.10839259882474017
474,0.16899231824492988,0.17956616630256925,-0.010573848057639399,0.005468395227149916,color_iz,0.20733088745252368,0.1406271871670921,0.2154251886515576,0.14941226299913624
